# 口语词频表 v3（SUBTLEX-CH 词级 + 字幕 2-gram 组合词，词\t频次）
会吧	2969
酒吧	2968
盛顿	2968
讨论	2966
实说	2965
很简	2964
样一	2963
样吧	2961
同样	2959
很少	2957
能成	2955
身份	2954
会放	2954
说明	2953
什么样	2953
安静	2951
岛	2950
模特	2949
轮到	2949
懂吗	2946
多么	2945
足够	2945
样啊	2945
饿	2943
想帮	2943
学生	2942
打过	2940
红	2932
鸡	2931
年后	2931
养	2929
下午	2928
繼續	2924
仍然	2922
一旦	2922
然会	2920
說話	2920
追	2916
动作	2916
留着	2916
谢	2915
找人	2914
意味着	2913
易斯	2912
们无	2911
到這	2910
谁来	2908
受到	2907
远点	2907
群	2903
能得	2902
沒錯	2902
之一	2901
因	2900
美國	2900
约	2897
第三	2897
又没	2894
一堆	2894
赶	2892
面对	2891
怀疑	2888
慢	2887
居然	2886
事啊	2886
就要	2883
不值	2882
拒绝	2880
家人	2880
能进	2880
快到	2879
儿吗	2879
天要	2878
挥官	2877
血鬼	2874
雷	2873
演员	2871
没发	2871
太不	2869
兒子	2869
人死	2869
烧	2867
诞节	2867
真实	2865
先走	2864
要放	2864
很糟	2863
交易	2862
破	2859
没必	2859
停止	2856
更糟	2855
再去	2853
人生	2852
想打	2849
清	2848
能走	2848
拿回	2848
因此	2846
恶心	2846
得真	2846
导演	2846
不怎	2845
受伤	2842
尔夫	2841
点时	2838
夜	2837
少人	2836
關係	2836
想给	2835
去买	2834
到没	2833
家一	2832
婊子	2829
跑到	2829
别碰	2828
属于	2827
太过	2825
再看	2820
一根	2820
去睡	2816
舞蹈	2814
根据	2813
几乎	2808
算是	2806
演	2805
要小	2805
试一	2803
尼	2802
答案	2801
出色	2799
目前	2798
要等	2795
活动	2793
锁	2790
梦想	2790
来给	2789
请不	2789
很遗	2788
聽到	2788
最终	2787
直想	2786
大不	2785
大人	2784
再次	2784
既然	2783
上过	2782
人员	2781
打来	2781
英雄	2779
之後	2779
忙吗	2778
坐下	2777
感受	2775
副	2774
事件	2774
們一	2774
吻	2773
后呢	2772
中最	2772
得要	2770
只知	2769
不爱	2769
意吗	2766
罪	2760
逃	2759
通知	2756
不得不	2756
别开	2756
无论	2754
放开	2753
们总	2753
多好	2747
里找	2742
刀	2741
不存	2741
說過	2741
后来	2740
愿	2739
幹什	2738
适合	2736
始吧	2736
允许	2734
失望	2734
情不	2734
又要	2731
家吧	2730
能相	2729
意见	2726
人吧	2723
杀掉	2723
玩得	2723
获得	2722
道一	2720
要是	2719
几次	2719
近	2717
不听	2715
听得	2714
等下	2710
里等	2708
数	2707
公寓	2706
哪兒	2706
幕组	2700
文件	2698
這不	2698
么对	2697
过什	2693
麼做	2693
別人	2691
多钱	2690
小時	2690
只能	2684
白	2684
寻找	2684
会感	2683
又来	2680
好地	2680
很幸	2679
到地	2678
攻击	2677
烂	2676
会尽	2671
到大	2671
掉下	2670
親愛	2669
不然	2661
邀请	2661
娘们	2661
最爱	2661
無法	2661
三次	2659
不动	2659
两人	2658
尽管	2657
真高	2657
一声	2656
姐姐	2655
不小	2654
查局	2646
浪费	2644
多谢	2641
女朋友	2641
要拿	2637
动物	2636
一半	2633
某个	2632
躲	2632
样不	2631
为何	2630
官大	2629
要么	2628
要先	2627
逼	2626
家吗	2624
对着	2624
欠	2623
别走	2621
轮	2619
起走	2619
试图	2618
蒂夫	2617
二次	2615
還不	2615
反应	2612
谁啊	2610
不放	2608
西	2606
吃晚	2605
搞错	2604
没来	2603
后会	2601
里发	2601
里一	2597
会觉	2597
稍等	2595
弄到	2595
一边	2594
来呀	2593
听见	2592
想得	2591
舒服	2590
失败	2590
通	2590
等会	2590
能一	2588
有时	2587
一般	2586
何一	2585
蛋	2584
介绍	2583
何东	2582
种情	2580
意外	2579
们让	2579
打得	2578
永遠	2576
一座	2575
一趟	2573
字	2572
入	2570
责任	2569
说吗	2568
天会	2568
警局	2568
史密	2568
俄罗	2567
定能	2566
要听	2564
没告	2563
多一	2562
食物	2561
洛杉矶	2561
們可	2561
遗憾	2560
验室	2560
反正	2559
杀手	2559
人怎	2559
设计	2558
封	2558
种感	2558
果没	2557
们明	2557
赢得	2555
正是	2554
個小	2548
证人	2545
做任	2545
狗娘	2545
美丽	2544
压力	2541
尔先	2540
看見	2536
味道	2534
淘汰	2534
生不	2534
鱼	2532
厉害	2532
射	2530
加哥	2530
害死	2529
一看	2528
们准	2528
要结	2527
静下	2527
想当	2527
室	2526
受够	2525
醉	2524
蠢	2524
点钟	2522
月前	2521
未	2520
己去	2520
会离	2519
许会	2519
